# This file contains the transportation options to reach the ski resorts
# from various towns in the Valais plain.
# Note: Price for cablecar might be included in the ski pass so it might differ for some
# The Walk time on arrival is included in the duration
id,resort,town,mean,stop_departure,stop_arrival,duration(min),price(halbtax),company,change,onarrivalwalktime(min),comment
zinal,anniviers,zinal,bus,"Sierre/Siders, gare routière","Zinal, télécabine",56,9.70,poste,1,1,""
chandolin,anniviers,chandolin,bus,"Sierre/Siders, gare routière","Chandolin, télésiège",56,9.20,poste,1,1,""
vercorin,anniviers,vercorin,cablecar,"Chalais (station aval)", "Vercorin (station amont)",17,3.60,vercorin,None,10,""
evolene,dentblanche,evolene,bus+navette,"Sion, poste/gare","Evolène, Village",60,8.00,poste,1,30,"There is also a navette mandatory or 30 min walk"
arolla,dentblanche,arolla,bus,"Sion, poste/gare","Arolla, Magine",71,11.90,poste,1,2,""
forclaz,dentblanche,forclaz,bus,"Sion, poste/gare","La Forclaz VS",68,10.20,poste,None,2,""
nax,telemontnoble,nax,bus+navette,"Sion, poste/gare","Nax, La Crettaz",90,5.10,poste,1,30,"Only the Navette goes to the ski domain, and it is not synched the bus"
anzere,anzere,anzere,bus,"Sion, poste/gare","Anzère, télécabine",37,5.90,poste,None,1,""
leukerbad,leukerbad,leukerbad,bus,"Leuk, Bahnhof","Leukerbad, Busterminal",50,6.30,poste,None,20,"Walk 20 min or take the shuttle"
jeizinen,jeizinen,jeizinen,cablecar,"Gampel (Talstation Jeizinen)","Jeizinen (Bergstation)",15,None,unkown,None,5,""
lauchernalp_gampel,lotschental,wiler,bus,"Gampel-Steg, Bahnhof","Wiler (Lötschen), Talstation",32,5.50,poste,None,0,""
lauchernalp_brig,lotschental,wiler,train+bus,"Brig","Wiler (Lötschen), Talstation",37,10.30,cff+poste,1,0,""
eischoll,unterbach,eischoll,cablecar,"Raron (Talstation Eischoll)","Eischoll (Bergstation)",18,3.20,unkown,None,10,""
unterbach,unterbach,unterbach,cablecar,"Raron (Talstation Unterbäch)","Unterbäch (Bergstation)",8,3.20,unkown,None,0,""
moosalp,moosalp,burchen,bus,"Visp, Bahnhof Süd","Bürchen, Station",38,4.70,poste,None,0,""
moosalp_zniwwu,moosalp,torbel,train+bus,"Visp","Törbel, Skilift Z Niwwu",70,8.20,mgb+poste,1,0,"Not optimal compared to the bus to Bürchen"
visperterminen,visperterminen,visperterminen,bus,"Visp, Bahnhof Süd","Visperterminen, Busterminal",23,3.60,poste,None,2,""
staldenried,staldenried,staldenried,train+cablecar,"Visp","Staldenried",25,5.00,mgb+cablecar,1,2,""
grachen_bus_direct,grachen,grachen,bus,"Visp, Bahnhof Süd","Grächen, Zentrum",40,13.30,poste,None,2,""
grachen_via_stniklaus,grachen,grachen,train+bus,"Visp","Grächen, Zentrum",67,13.30,mgb+poste,1,2,""
zermatt,zermatt,zermatt,train,"Visp","Zermatt",66,19.00,mgb,None,2,"Once there you can take a small train next to the station, or walk/navette to other lifts"
saasgrund,saasfee,saasgrund,bus,"Visp, Bahnhof Süd","Saas-Grund, Bergbahnen",38,8.00,poste,None,0,""
saasalmagell,saasfee,saasalmagell,bus,"Visp, Bahnhof Süd","Saas-Almagell, Dorfplatz",59,9.20,poste,1,2,""
saasfee,saasfee,saasfee,bus,"Visp, Bahnhof Süd","Saas-Fee, Busterminal",60,9.20,poste,None,10,"10 min walk or shuttle"
belalp,belalp,blatten,bus,"Brig, Bahnhof","Blatten b. Naters,Luftseilbahn",22,3.20,poste,None,0,""
rosswald,rosswald,rosswald,bus+cablecar,"Brig, Bahnhof","Rosswald",36,None,poste,1,2,""
rothwald,rothwald,rothwald,bus,"Brig, Bahnhof","Rothwald, Schutzhaus",27,5.50,poste,None,2,""
bellwald,bellwald,bellwald,train+cablecar,"Brig Bahnhofplatz","Bellwald (Bergstation)",61,9.90,mgb+cablecar,1,15,""
riederalp,aletsch,riederalp,train+cablecar,"Brig Bahnhofplatz","Riederalp West",30,7.80,mgb+cablecar,1,1,""
bettmeralp,aletsch,bettmeralp,train+cablecar,"Brig Bahnhofplatz","Bettmeralp",34,8.70,mgb+cablecar,1,1,""
fiescheralp,aletsch,fiescheralp,train+cablecar,"Brig Bahnhofplatz","Fiescheralp",45,15.50,mgb+cablecar,1,1,""
champery,portesdusoleil,champery,train,"Monthey-Ville","Champéry",36,4.70,cff,None,2,""
lescrosets,portesdusoleil,lescrosets,train`bus,"Monthey-Ville","Les Crosets, télésièges",58,6.80,cff+poste,1,1,""
champoussin,portesdusoleil,champoussin,train+bus,"Monthey-Ville","Champoussin, téléski Champeys",47,7.50,cff+poste,1,2,""
morgins,portesdusoleil,morgins,train+bus,"Monthey-Ville","Morgins, poste",35,5.90,cff+poste,1,3,""
